;id;url;created_at;username;verified;location;following;followers;total_tweets;favorite_count;retweet_count;hashtags;tweet_type;mentions;raw_text;text;sentiment_roberta;score_roberta
0;1523444173977784320;https://twitter.com/twitter/statuses/1523444173977784320;2022-05-08 23:26:09+00:00;yieldaggregator;False;New Orleans, LA;144;77;676;0;0;[];recent;[{'screen_name': 'leo5imon', 'name': 'Leo Simon', 'id': 773215417963778048, 'id_str': '773215417963778048', 'indices': [0, 9]}, {'screen_name': 'TokenReactor', 'name': '┻┳ TOKEMAK', 'id': 1101283758097915904, 'id_str': '1101283758097915904', 'indices': [10, 23]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [24, 35]}, {'screen_name': 'kaizen_dao', 'name': 'KaizenDAO', 'id': 1240278099289399297, 'id_str': '1240278099289399297', 'indices': [36, 47]}];@leo5imon @TokenReactor @OlympusDAO @kaizen_dao Loved this article.  Do you think Bancor qualifies as another solution to the same problem?;_dao Loved this article Do you think Bancor qualifies as another solution to the same problem?;Positive;0.9512863755226135
1;1523440754630467584;https://twitter.com/twitter/statuses/1523440754630467584;2022-05-08 23:12:34+00:00;ohmiebull1;False;;137;28;211;0;2;[];recent;[{'screen_name': 'JASF_MS03', 'name': 'Slinxs (ø:ø)', 'id': 830524679790137346, 'id_str': '830524679790137346', 'indices': [3, 13]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [39, 50]}];RT @JASF_MS03: Let's go butter hands!, @OlympusDAO is buying your $OHM, don't think about it too much, or maybe yes? https://t.co/DtJpmwcXbr;RT _MS03 Let's go butter hands! is buying your $OHM don't think about it too much or maybe yes https://t.co/DtJpmwcXbr;Positive;0.5899474024772644
2;1523437060392370176;https://twitter.com/twitter/statuses/1523437060392370176;2022-05-08 22:57:53+00:00;Wolfcapital41;False;;39;6;34;0;3;[{'text': 'FTM', 'indices': [98, 102]}];recent;[{'screen_name': 'WhaleStatsFTM', 'name': 'WhaleStats - the top 1000 Fantom richlist', 'id': 1435079049517228032, 'id_str': '1435079049517228032', 'indices': [3, 17]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [34, 45]}];"RT @WhaleStatsFTM: JUST IN: $gOHM @OlympusDAO one of the MOST USED smart contracts among top 2000 #FTM whales in the last 24hrs🐳

We've als…";RT JUST IN $gOHM one of the MOST USED smart contracts among top 2000 #FTM whales in the last 24hrs🐳 We've als…;Positive;0.6507555246353149
3;1523433200411811842;https://twitter.com/twitter/statuses/1523433200411811842;2022-05-08 22:42:33+00:00;JoyceWe47839908;False;;19;2;4;0;0;[];recent;[];dr00shie OlympusDAO Is there any risk to your ohm?;dr00shie OlympusDAO Is there any risk to your ohm?;Neutral;0.7665703892707825
4;1523428095541510144;https://twitter.com/twitter/statuses/1523428095541510144;2022-05-08 22:22:16+00:00;web3_toxin;False;Vicious Moon;126;28;26;0;0;[];recent;[{'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [25, 36]}];Scenic Beauty created by @OlympusDAO, All the replicas don't understand what's going on behind the scene !;Scenic Beauty created by All the replicas don't understand what's going on behind the scene !;Negative;0.5326909422874451
5;1523419396017852416;https://twitter.com/twitter/statuses/1523419396017852416;2022-05-08 21:47:42+00:00;SalomonCrypto;False;;637;217;303;1;0;[];recent;[{'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [84, 95]}, {'screen_name': 'ohmzeus', 'name': 'Zeus Ω |3, 3|', 'id': 1335984626230321154, 'id_str': '1335984626230321154', 'indices': [103, 111]}];"(16/19) Metaphors are how prophets communicate the future to mortals. 

There is no @OlympusDAO unless @ohmzeus can… https://t.co/9UUIZxlNyW";(16/19 Metaphors are how prophets communicate the future to mortals There is no unless can https://t.co/9UUIZxlNyW;Neutral;0.8297091722488403
6;1523414516616220672;https://twitter.com/twitter/statuses/1523414516616220672;2022-05-08 21:28:19+00:00;5irzz;False;Australia ;769;772;3645;0;2;[];recent;[{'screen_name': 'JASF_MS03', 'name': 'Slinxs (ø:ø)', 'id': 830524679790137346, 'id_str': '830524679790137346', 'indices': [3, 13]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [39, 50]}];RT @JASF_MS03: Let's go butter hands!, @OlympusDAO is buying your $OHM, don't think about it too much, or maybe yes? https://t.co/DtJpmwcXbr;RT _MS03 Let's go butter hands! is buying your $OHM don't think about it too much or maybe yes https://t.co/DtJpmwcXbr;Positive;0.5899474024772644
7;1523395760007487488;https://twitter.com/twitter/statuses/1523395760007487488;2022-05-08 20:13:47+00:00;JASF_MS03;False;On an exoplanet;1016;552;18276;2;0;[];recent;[{'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [0, 11]}];@OlympusDAO  currently has $600k per day to buy your $OHM, and if conditions require it, that amount will go up to… https://t.co/MDKwd13nPO;currently has $600k per day to buy your $OHM and if conditions require it that amount will go up to https://t.co/MDKwd13nPO;Neutral;0.8633336424827576
8;1523393649077153792;https://twitter.com/twitter/statuses/1523393649077153792;2022-05-08 20:05:23+00:00;JayTee_5555;False;;1055;679;9882;0;2;[];recent;[{'screen_name': 'cryptomj8', 'name': 'jmcrypto.x', 'id': 1143718618179371008, 'id_str': '1143718618179371008', 'indices': [3, 13]}, {'screen_name': 'disa_diisaa', 'name': 'Disa', 'id': 1381017760277393416, 'id_str': '1381017760277393416', 'indices': [15, 27]}, {'screen_name': 'FantomHub', 'name': 'FantomHub', 'id': 1443255403505061891, 'id_str': '1443255403505061891', 'indices': [28, 38]}, {'screen_name': 'WarpBond', 'name': 'Warp.Game', 'id': 1468745083629490188, 'id_str': '1468745083629490188', 'indices': [39, 48]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [49, 60]}, {'screen_name': 'opensea', 'name': 'OpenSea', 'id': 946213559213555712, 'id_str': '946213559213555712', 'indices': [61, 69]}, {'screen_name': 'FantomFDN', 'name': 'Fantom Foundation', 'id': 977020204071792641, 'id_str': '977020204071792641', 'indices': [70, 80]}, {'screen_name': '0xPolygon', 'name': 'Polygon - MATIC 💚', 'id': 914738730740715521, 'id_str': '914738730740715521', 'indices': [81, 91]}, {'screen_name': 'WalletConnect', 'name': 'WalletConnect 📲', 'id': 977233881668648960, 'id_str': '977233881668648960', 'indices': [92, 106]}, {'screen_name': 'jaceincrypto', 'name': 'callmejace', 'id': 187794592, 'id_str': '187794592', 'indices': [107, 120]}, {'screen_name': 'tdellytech', 'name': 'Tdellz', 'id': 942601921860313089, 'id_str': '942601921860313089', 'indices': [121, 132]}];RT @cryptomj8: @disa_diisaa @FantomHub @WarpBond @OlympusDAO @opensea @FantomFDN @0xPolygon @WalletConnect @jaceincrypto @tdellytech @PeteC…;RT _diisaa …;Neutral;0.894661009311676
9;1523392521358823425;https://twitter.com/twitter/statuses/1523392521358823425;2022-05-08 20:00:55+00:00;JASF_MS03;False;On an exoplanet;1016;552;18276;10;2;[];recent;[{'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [24, 35]}];Let's go butter hands!, @OlympusDAO is buying your $OHM, don't think about it too much, or maybe yes? https://t.co/DtJpmwcXbr;Let's go butter hands! is buying your $OHM don't think about it too much or maybe yes https://t.co/DtJpmwcXbr;Positive;0.6911458969116211
10;1523392134883442688;https://twitter.com/twitter/statuses/1523392134883442688;2022-05-08 19:59:22+00:00;disa_diisaa;False;;411;460;11225;0;2;[];recent;[{'screen_name': 'cryptomj8', 'name': 'jmcrypto.x', 'id': 1143718618179371008, 'id_str': '1143718618179371008', 'indices': [3, 13]}, {'screen_name': 'disa_diisaa', 'name': 'Disa', 'id': 1381017760277393416, 'id_str': '1381017760277393416', 'indices': [15, 27]}, {'screen_name': 'FantomHub', 'name': 'FantomHub', 'id': 1443255403505061891, 'id_str': '1443255403505061891', 'indices': [28, 38]}, {'screen_name': 'WarpBond', 'name': 'Warp.Game', 'id': 1468745083629490188, 'id_str': '1468745083629490188', 'indices': [39, 48]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [49, 60]}, {'screen_name': 'opensea', 'name': 'OpenSea', 'id': 946213559213555712, 'id_str': '946213559213555712', 'indices': [61, 69]}, {'screen_name': 'FantomFDN', 'name': 'Fantom Foundation', 'id': 977020204071792641, 'id_str': '977020204071792641', 'indices': [70, 80]}, {'screen_name': '0xPolygon', 'name': 'Polygon - MATIC 💚', 'id': 914738730740715521, 'id_str': '914738730740715521', 'indices': [81, 91]}, {'screen_name': 'WalletConnect', 'name': 'WalletConnect 📲', 'id': 977233881668648960, 'id_str': '977233881668648960', 'indices': [92, 106]}, {'screen_name': 'jaceincrypto', 'name': 'callmejace', 'id': 187794592, 'id_str': '187794592', 'indices': [107, 120]}, {'screen_name': 'tdellytech', 'name': 'Tdellz', 'id': 942601921860313089, 'id_str': '942601921860313089', 'indices': [121, 132]}];RT @cryptomj8: @disa_diisaa @FantomHub @WarpBond @OlympusDAO @opensea @FantomFDN @0xPolygon @WalletConnect @jaceincrypto @tdellytech @PeteC…;RT _diisaa …;Neutral;0.894661009311676
11;1523387595731849219;https://twitter.com/twitter/statuses/1523387595731849219;2022-05-08 19:41:20+00:00;theNickWolf;False;United Kingdom;2137;1869;401;0;3;[];recent;[{'screen_name': 'ShivanshuMadan', 'name': 'shivamadan.eth 🚢', 'id': 108239650, 'id_str': '108239650', 'indices': [3, 18]}];"RT @ShivanshuMadan: Cryptocurrencies were created to move away from the broken global financial systems.

Yet, there's ~$190B stored in dol…";RT Cryptocurrencies were created to move away from the broken global financial systems. Yet there's ~$190B stored in dol…;Neutral;0.5774033069610596
12;1523381172818280448;https://twitter.com/twitter/statuses/1523381172818280448;2022-05-08 19:15:49+00:00;dominike333;False;💖;416;102;1636;0;4;[];recent;[{'screen_name': 'ohmSHAFT', 'name': 'SHAFT |3,3|', 'id': 1508274556020088838, 'id_str': '1508274556020088838', 'indices': [3, 12]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [34, 45]}];RT @ohmSHAFT: Do people know that @OlympusDAO is buying back and burning 600k+ of OHM a day.;RT Do people know that is buying back and burning 600k of OHM a day.;Negative;0.4959700405597687
13;1523381019839463424;https://twitter.com/twitter/statuses/1523381019839463424;2022-05-08 19:15:12+00:00;SolidityGithub;False;;0;582;23142;0;0;[];recent;[];"Name: OlympusDAO/test-utils
Description: Foundry test utils.

Last Commit: feat: with() no arg
Author: PARABRAHMAN0… https://t.co/xE10VoyXPB";Name OlympusDAO/test-utils Description Foundry test utils. Last Commit feat with( no arg Author PARABRAHMAN0 https://t.co/xE10VoyXPB;Neutral;0.9066464900970459
14;1523379757198442496;https://twitter.com/twitter/statuses/1523379757198442496;2022-05-08 19:10:11+00:00;SolidityGithub;False;;0;582;23142;0;0;[];recent;[];"Name: OlympusDAO/test-utils
Description: Foundry test utils.

Last Commit: feat: with() no arg
Author: PARABRAHMAN0… https://t.co/fV8lVGgwre";Name OlympusDAO/test-utils Description Foundry test utils. Last Commit feat with( no arg Author PARABRAHMAN0 https://t.co/fV8lVGgwre;Neutral;0.9058516025543213
15;1523369526569578498;https://twitter.com/twitter/statuses/1523369526569578498;2022-05-08 18:29:32+00:00;ohmSHAFT;False;;54;38;38;42;4;[];recent;[{'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [20, 31]}];Do people know that @OlympusDAO is buying back and burning 600k+ of OHM a day.;Do people know that is buying back and burning 600k of OHM a day.;Negative;0.4982098340988159
16;1523360139700363264;https://twitter.com/twitter/statuses/1523360139700363264;2022-05-08 17:52:14+00:00;Wangqy29363534;False;;59;2;14;0;0;[];recent;[];4. CVX owned by Frax, Terra and Redacted will be used to vote for the pool emission. The list of 4pool alliance is… https://t.co/9FZYFgfUo7;4 CVX owned by Frax Terra and Redacted will be used to vote for the pool emission The list of 4pool alliance is https://t.co/9FZYFgfUo7;Neutral;0.9399383068084717
17;1523346886014345218;https://twitter.com/twitter/statuses/1523346886014345218;2022-05-08 16:59:34+00:00;Tamas__Nagy;False;Cumbria, United Kingdom;994;2682;1258;0;0;[];recent;[{'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [0, 11]}];@OlympusDAO Clearly most of you bought ohm because apr was so huge, didnt bother reading the whitepaper :));Clearly most of you bought ohm because apr was so huge didnt bother reading the whitepaper :));Neutral;0.4204491376876831
18;1523334740362743808;https://twitter.com/twitter/statuses/1523334740362743808;2022-05-08 16:11:18+00:00;lovixgirl;False;;236;27;729;0;0;[];recent;[{'screen_name': 'Abachi_io', 'name': 'Abachi', 'id': 1451417232961982466, 'id_str': '1451417232961982466', 'indices': [0, 10]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [11, 22]}];@Abachi_io @OlympusDAO wow cool;_io wow cool;Positive;0.923376739025116
19;1523329734628626432;https://twitter.com/twitter/statuses/1523329734628626432;2022-05-08 15:51:25+00:00;blakstarminting;False;;397;137;756;0;0;[];recent;[{'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [3, 14]}];If @OlympusDAO is not a ponzi why was I kicked of the discord server expressing my concern as an invested member. 🤔;If is not a ponzi why was I kicked of the discord server expressing my concern as an invested member 🤔;Negative;0.7115927338600159
20;1523329017146871808;https://twitter.com/twitter/statuses/1523329017146871808;2022-05-08 15:48:34+00:00;gelatodan;False;;274;212;362;0;2;[];recent;[{'screen_name': 'gelatonetwork', 'name': 'Gelato', 'id': 1182591601593454592, 'id_str': '1182591601593454592', 'indices': [3, 17]}, {'screen_name': 'itssarahamann', 'name': 'sarah', 'id': 536868408, 'id_str': '536868408', 'indices': [49, 63]}];"RT @gelatonetwork: Our developer advocate Sarah (@itssarahamann) is back with a fresh Gelato Sundae, and it's 𝙚𝙭𝙩𝙧𝙖 sweet...🍧

Featuring @O…";RT Our developer advocate Sarah ( is back with a fresh Gelato Sundae and it's 𝙚𝙭𝙩𝙧 sweet...🍧 Featuring …;Positive;0.9670301079750061
21;1523328883239628801;https://twitter.com/twitter/statuses/1523328883239628801;2022-05-08 15:48:02+00:00;gelatonetwork;False;;23;35465;1552;15;2;[];recent;[{'screen_name': 'itssarahamann', 'name': 'sarah', 'id': 536868408, 'id_str': '536868408', 'indices': [30, 44]}];"Our developer advocate Sarah (@itssarahamann) is back with a fresh Gelato Sundae, and it's 𝙚𝙭𝙩𝙧𝙖 sweet...🍧

Featuri… https://t.co/YtQPqdeJR9";Our developer advocate Sarah ( is back with a fresh Gelato Sundae and it's 𝙚𝙭𝙩𝙧 sweet...🍧 Featuri https://t.co/YtQPqdeJR9;Positive;0.9822560548782349
22;1523313631299260416;https://twitter.com/twitter/statuses/1523313631299260416;2022-05-08 14:47:26+00:00;RebaseTokens;False;Blockchain;1009;8037;13387;0;0;[{'text': 'ETH', 'indices': [37, 41]}];recent;[{'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [16, 27]}];"Olympus - $OHM (@OlympusDAO) update! #ETH

Price: $15.83
Price Change 24h: -7.2%
Volume 24h: $2,261,578.96
Fully Di… https://t.co/aZB2FE3rPH";Olympus $OHM ( update #ETH Price $15.83 Price Change 24h -7.2% Volume 24h $2,261,578.96 Fully Di https://t.co/aZB2FE3rPH;Neutral;0.8887393474578857
23;1523311395152052227;https://twitter.com/twitter/statuses/1523311395152052227;2022-05-08 14:38:33+00:00;28rubyrose;False;;23;16;306;0;3;[];recent;[{'screen_name': 'ordernchaos_fi', 'name': 'Order&Chaos', 'id': 1517384231609323520, 'id_str': '1517384231609323520', 'indices': [3, 18]}, {'screen_name': 'avalancheavax', 'name': 'Avalanche 🔺', 'id': 1055894724245155841, 'id_str': '1055894724245155841', 'indices': [72, 86]}, {'screen_name': 'zhusu', 'name': 'Zhu Su 🔺🌕', 'id': 79714172, 'id_str': '79714172', 'indices': [87, 93]}, {'screen_name': 'terra_money', 'name': 'Terra (UST) 🌍 Powered by LUNA 🌕', 'id': 1022028994772910086, 'id_str': '1022028994772910086', 'indices': [94, 106]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [107, 118]}, {'screen_name': 'fraxfinance', 'name': 'Frax Finance (¤, ¤) 🦇🔊', 'id': 1123761442824519682, 'id_str': '1123761442824519682', 'indices': [119, 131]}];"RT @ordernchaos_fi: Algorithmic stablecoin and Stableswap SOON™ --&gt; 
@avalancheavax @zhusu @terra_money @OlympusDAO @fraxfinance 👀👀 https:/…";RT _fi Algorithmic stablecoin and Stableswap SOON --&gt _money 👀 https:/…;Neutral;0.9073954820632935
24;1523307449242980352;https://twitter.com/twitter/statuses/1523307449242980352;2022-05-08 14:22:52+00:00;sravansaaga;False;Vilavoorkkal, India;329;10;365;0;3;[];recent;[{'screen_name': 'ordernchaos_fi', 'name': 'Order&Chaos', 'id': 1517384231609323520, 'id_str': '1517384231609323520', 'indices': [3, 18]}, {'screen_name': 'avalancheavax', 'name': 'Avalanche 🔺', 'id': 1055894724245155841, 'id_str': '1055894724245155841', 'indices': [72, 86]}, {'screen_name': 'zhusu', 'name': 'Zhu Su 🔺🌕', 'id': 79714172, 'id_str': '79714172', 'indices': [87, 93]}, {'screen_name': 'terra_money', 'name': 'Terra (UST) 🌍 Powered by LUNA 🌕', 'id': 1022028994772910086, 'id_str': '1022028994772910086', 'indices': [94, 106]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [107, 118]}, {'screen_name': 'fraxfinance', 'name': 'Frax Finance (¤, ¤) 🦇🔊', 'id': 1123761442824519682, 'id_str': '1123761442824519682', 'indices': [119, 131]}];"RT @ordernchaos_fi: Algorithmic stablecoin and Stableswap SOON™ --&gt; 
@avalancheavax @zhusu @terra_money @OlympusDAO @fraxfinance 👀👀 https:/…";RT _fi Algorithmic stablecoin and Stableswap SOON --&gt _money 👀 https:/…;Neutral;0.9073954820632935
25;1523283972607950849;https://twitter.com/twitter/statuses/1523283972607950849;2022-05-08 12:49:34+00:00;GodsOfOHMNFT;False;Olympus;130;168;265;1;0;[];recent;[{'screen_name': 'sirdaf', 'name': '█Sirdaf███', 'id': 296105765, 'id_str': '296105765', 'indices': [0, 7]}, {'screen_name': 'OdysseyOlympus', 'name': 'Odyssey', 'id': 1421940448768126979, 'id_str': '1421940448768126979', 'indices': [8, 23]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [24, 35]}];@sirdaf @OdysseyOlympus @OlympusDAO Zeus prefers sipping whiskey and listening to Thunderstruck ⚡🎶;Zeus prefers sipping whiskey and listening to Thunderstruck ⚡🎶;Neutral;0.6206466555595398
26;1523282746386583552;https://twitter.com/twitter/statuses/1523282746386583552;2022-05-08 12:44:42+00:00;3L3C70;False;;3097;3253;16768;0;0;[];recent;[{'screen_name': 'Mark11ETH', 'name': 'Shark11 |🦇,🔊|', 'id': 1329026108856045568, 'id_str': '1329026108856045568', 'indices': [0, 10]}, {'screen_name': 'dr00shie', 'name': 'dr00', 'id': 2192944657, 'id_str': '2192944657', 'indices': [11, 20]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [21, 32]}, {'screen_name': 'zeetientien', 'name': 'Z.klima|٣,٣|(🐻⛓)', 'id': 1421664599439466505, 'id_str': '1421664599439466505', 'indices': [33, 45]}];@Mark11ETH @dr00shie @OlympusDAO @zeetientien Both are absolute legends no doubt.;Both are absolute legends no doubt.;Positive;0.9589652419090271
27;1523282023871238144;https://twitter.com/twitter/statuses/1523282023871238144;2022-05-08 12:41:50+00:00;sirdaf;False;Eindhoven;1100;143;1107;1;0;[];recent;[{'screen_name': 'GodsOfOHMNFT', 'name': 'Gods Of OHM NFT', 'id': 1501827557783748608, 'id_str': '1501827557783748608', 'indices': [0, 13]}, {'screen_name': 'OdysseyOlympus', 'name': 'Odyssey', 'id': 1421940448768126979, 'id_str': '1421940448768126979', 'indices': [14, 29]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [30, 41]}];@GodsOfOHMNFT @OdysseyOlympus @OlympusDAO Ooh I missed that one!! Perhaps Dyonysos then giving us the alpha while sipping a glass of wine 🍷.;Ooh I missed that one! Perhaps Dyonysos then giving us the alpha while sipping a glass of wine 🍷.;Positive;0.5309033393859863
28;1523278122090700803;https://twitter.com/twitter/statuses/1523278122090700803;2022-05-08 12:26:20+00:00;GodsOfOHMNFT;False;Olympus;130;168;265;1;0;[];recent;[{'screen_name': 'sirdaf', 'name': '█Sirdaf███', 'id': 296105765, 'id_str': '296105765', 'indices': [0, 7]}, {'screen_name': 'OdysseyOlympus', 'name': 'Odyssey', 'id': 1421940448768126979, 'id_str': '1421940448768126979', 'indices': [8, 23]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [24, 35]}];@sirdaf @OdysseyOlympus @OlympusDAO Ser, we already had Hermes. He'll be on the way to you soon though with positiv… https://t.co/s5knQbNK1I;Ser we already had Hermes He'll be on the way to you soon though with positiv https://t.co/s5knQbNK1I;Positive;0.5646697878837585
29;1523264052817842177;https://twitter.com/twitter/statuses/1523264052817842177;2022-05-08 11:30:25+00:00;fadoportugal;False;;1185;421;21615;0;1;[];recent;[{'screen_name': 'callmemiya91', 'name': 'miya', 'id': 1511304648749043713, 'id_str': '1511304648749043713', 'indices': [3, 16]}];"RT @callmemiya91: Crypto News, April 15: North Korea Behind Ronin Hack and OlympusDAO Founder Doxxed
The Ronin hack has been tied to the No…";RT Crypto News April 15 North Korea Behind Ronin Hack and OlympusDAO Founder Doxxed The Ronin hack has been tied to the No…;Neutral;0.5521820783615112
30;1523262017783566336;https://twitter.com/twitter/statuses/1523262017783566336;2022-05-08 11:22:20+00:00;multieklavu;False;;5000;190;71839;0;0;[];recent;[{'screen_name': 'Abachi_io', 'name': 'Abachi', 'id': 1451417232961982466, 'id_str': '1451417232961982466', 'indices': [0, 10]}, {'screen_name': 'OlympusDAO', 'name': 'OlympusDAO', 'id': 1353529215497469952, 'id_str': '1353529215497469952', 'indices': [11, 22]}];@Abachi_io @OlympusDAO Rare indeed so much;_io Rare indeed so much;Neutral;0.564105212688446
31;1523258942713139202;https://twitter.com/twitter/statuses/1523258942713139202;2022-05-08 11:10:07+00:00;Eman_Sulaeman93;False;Crypto World;950;343;17812;0;1;[{'text': 'FTM', 'indices': [72, 76]}];recent;[{'screen_name': 'WhaleStatsFTM', 'name': 'WhaleStats - the top 1000 Fantom richlist', 'id': 1435079049517228032, 'id_str': '1435079049517228032', 'indices': [3, 17]}, {'screen_name': 'FantomFDN', 'name': 'Fantom Foundation', 'id': 977020204071792641, 'id_str': '977020204071792641', 'indices': [106, 116]}];"RT @WhaleStatsFTM: 🏆 MOST USED smart contracts for the top 2000 biggest #FTM whales today

🥇 $FTM
🥈 $WFTM @FantomFDN
🥉 $USDC
4️⃣ $BTC
5️⃣ $…";RT MOST USED smart contracts for the top 2000 biggest #FTM whales today $FTM $WFTM $USDC 4️ $BTC 5️ $…;Neutral;0.8024433255195618
